Mean,Variance,Skewness,Kurtosis,Power_Delta,Power_Theta,Power_Alpha,Power_Beta,Theta_Alpha_Ratio,Spectral_Entropy,Rolling_Var,Delta_diff,Theta_diff,Alpha_diff,Beta_diff,Delta_Theta_ratio,Alpha_Beta_ratio,Rolling_Mean_Delta,Rolling_Mean_Theta,Label
-5.551115123125783e-18,1.0000000000000002,0.0537136257223372,0.3817101412877339,0.6422454167841022,0.1645635694894666,0.0286144446520981,0.0871139349472981,5.750865362750904,0.4721369757052157,0.0555838822900466,0.03854835033981696,-0.010113009648892113,-0.007406580497144502,-0.007468033030888596,3.902695572786771,0.3284677267957437,0.6183262194389837,0.16133162545409752,3
3.053113317719181e-17,1.0,-0.0641809257131435,1.5527377219222638,0.7357072719991378,0.1262646315519899,0.0211231525222094,0.0699708873355361,5.977263770427614,0.4414624337454195,0.1181678006649849,0.09346185521503558,-0.03829893793747671,-0.007491292129888701,-0.01714304761176201,5.826662908633298,0.3018805598442354,0.6376763223238278,0.15797434069197255,3
2.0354088784794532e-17,1.0,0.0257898361361217,0.1137395354766321,0.6482988876321102,0.1511749243093171,0.0285079995168534,0.0896472070131117,5.302708859353288,0.470650613654611,0.0295488682341622,-0.08740838436702758,0.0249102927573272,0.007384846994644,0.019676319677575604,4.288373896796178,0.31799854639238795,0.6507498549328661,0.15406834119925325,3
1.9891495857867388e-17,1.0000000000000002,-0.028577453182828,0.7179827524259892,0.6750296934479051,0.1000561813075436,0.0175643806566732,0.0830384958240665,5.696214802468942,0.4489932346354343,0.0377329384449271,0.0267308058157949,-0.05111874300177349,-0.0109436188601802,-0.006608711189045199,6.74643923231338,0.21151839233087796,0.6609956672615082,0.14334717715933518,3
1.942890293094024e-17,1.0000000000000002,-0.1440266256341405,0.5175953520649506,0.7415465353930976,0.1313104818905994,0.0163637755923429,0.0696079009565228,8.023970823775855,0.4450518785568607,0.0356247016746492,0.06651684194519247,0.03125430058305581,-0.0012006050643302985,-0.013430594867543694,5.64723301204466,0.2350816543212425,0.6885655610512705,0.13467395770978333,3
-8.326672684688674e-18,1.0000000000000002,-0.0709986095625995,0.5668571746900364,0.6881081673144628,0.1634716681328032,0.0180380533419321,0.0658419833956046,9.06209794018458,0.4507069076396449,0.0627456134159592,-0.05343836807863478,0.03216118624220379,0.001674277749589198,-0.0037659175609182083,4.209316304517965,0.2739555896723878,0.6977381111573426,0.13445557743845066,3
-1.1102230246251566e-17,1.0,0.2296812459980983,1.3051050911076807,0.7616552372306228,0.1162188471867902,0.0167313444646038,0.0580268339057313,6.945759898300158,0.4061172590290947,0.1057675647616492,0.07354706991616,-0.047252820946013005,-0.0013067088773283005,-0.007815149489873295,6.553572867863779,0.2883330867008509,0.7029277042036397,0.1324464205654107,3
1.0639637319324419e-17,1.0000000000000002,-0.0830332728647247,0.5513821972427677,0.7245339140753093,0.1553148084200509,0.0236888193196212,0.0839738310099749,6.556183748155916,0.4556629186231746,0.0431095580863235,-0.03712132315531347,0.039095961233260715,0.006957474855017402,0.025946997104243592,4.664907722179899,0.2820942779486789,0.7181747094922796,0.13327439738755748,3
-1.0177044392397269e-17,1.0,-0.3053473141708203,1.310468610613663,0.7808915771833513,0.1002978294035428,0.0126212487994538,0.0468392544477137,7.946114119370135,0.3907682781492188,0.112059489502724,0.05635766310804202,-0.05501697901650811,-0.011067570520167401,-0.03713457656226119,7.785649960494637,0.2694530366726018,0.7393470862393687,0.1333227270067573,3
-1.295260195396016e-17,1.0000000000000002,-0.145748845996344,0.0209327706951603,0.7160944914004663,0.1344768554499698,0.0182911970631651,0.0758730912975877,7.351596693694318,0.4486245437962173,0.0225529720245473,-0.06479708578288501,0.03417902604642699,0.0056699482637113,0.02903383684987399,5.324999339143069,0.24107302967787428,0.7342566774408426,0.13395600171863137,3
